A1;;;
A2;;;
A4;;;
A5;;;
A6;;;
A7;;;
A8;;;
A9;;;
A10;;;
Centromedian nucleus;CMn;central nucleus-1, centre median nucleus, centromedian thalamic nucleus, Centrum medianum, Centrum medianum thalami, Nucleus centralis centralis, Nucleus centromedianus, Nucleus centromedianus thalami, Nucleus centrum medianum,centromedian;
Cerebellar area;;;
Cerebellar commissure;;;
Cerebellar corpus;;;
Cerebellar cortex;CbCx;Cortex cerebelli,cerebellar cortical;
Cerebellar crest;;;
Cerebellar hemisphere;;;
Cerebellar lobule;;;
Cerebellar nuclei;;cerebellar nuclear,cerebellar nucleus,cerebellar;
Cerebellar Paravermis;;;
Cerebellar peduncle;;;
Cerebellar peduncles;;;
Cerebellar penducular complex;;;
Cerebellar primordium;;;
Cerebellar white matter;cbw;white matter of cerebellum, Substantia medullaris cerebelli;
cerebellorecipient;;;
Cerebellum;Cb;Corpus cerebelli, parencephalon;
Cerebral aqueduct collicular recess;;;
Cerebral aqueduct subcommissural organ;;;
Cerebral aqueduct;Aq;aqueduct (Sylvius), aqueduct of Sylvius, cerebral aqueduct of Sylvius, mesencephalic aqueduct, mesencephalic duct, Sylvian aqueduct, Aquaeductus cerebri, Aqueductus (Sylvii), Aqueductus cerebri, Aqueductus mesencephali, Iter;
Cerebral cortex;Cx, Ctx;cortical plate, cortical plate areas, Cortex cerebri;
Cerebral cortical mantle;;;
Cerebral crus;ccr;Crura cerebri, crus cerebri;
Cerebral hemisphere;;cerebral nuclei;
Cerebral peduncle;CP;Pedunculus cerebri;
Cerebral wall;;;
Cerebral white matter;cw;;
Cerebral;;;
Cerebro-pontine;;;
Cerebrospinal fluid;;;
Cerebrum;;;
Cervical cord segments;;;
Cervical cord;;;
Cervical nucleus;;Cervical;
Cervical spinal cord;;;
Cervical vagus nerve;;Cervical vagus;
Cervicothalamic tract;;;
Chemoarchitectural part of neostriatum;;Chemoarchitectural part, Chemoarchitectural neostriatum;
Chiasm;;chiasma,chiasmata;
Chorda tympani;;;
Choroid fissure;;;
Choroid plexus of fourth ventricle;cp4v;;
Choroid plexus of lateral ventricle;cplv;Plexus choroideus (ventriculi lateralis), Plexus choroideus ventriculi lateralis;
Choroid plexus of third ventricle;cp3v;;
Choroid plexus;;chorioid plexus, Plexus choroidei, Plexus choroideus,choroid;
choroidal;;;
Cingulate cortex;;cingulate/retrosplenial cortex,cingulate;
Cingulate gyrus;CgG;cingular gyrus, cingulate area, cingulate region, Gyri cinguli, Gyrus cinguli;
Cingulum bundle;;;
Circular sulcus;;;
Circumventricular organ;;;
Cisterna magna;;;
Clarke's column;;;
Claustral amygdaloid area;En;endopiriform nucleus, endopiriform claustrum, Claustral;
Claustrum;Cl;;
dorsal claustrum;;;
ventral claustrum;;;
Cochlear;CN;cochlea,Cochlear nuclei,cochlear nucleus;
Cochlear duct;;;
Cochlear nerve;;;
Cochlear nuclear complex;;;
Cochlear nucleus magnocellularis;;;
Cochlear nucleus subdivision;;;
Cochlear spiral ganglion;;;
Collicular field;;collicular;
Collicular target nuclei;;;
Colliculus;;colliculi;
Collimotor;;;
Column of Clarke;;;
Column of Terni;;;
Columns of the fornix;;;
Command nucleus;;;
Commissura hippocampi;;;
Commissural nucleus of the solitary tract;;;
Commissural nucleus of the tractus solitarius;;;
Commissural nucleus of vagus nerve;Cm10;Nucleus commissuralis;
Commissural nucleus;;commissural;
commissural subnucleus;;;
Commissure of the inferior colliculus;;;
Commissure of the superior colliculus;;;
Composite part spanning multiple base regional parts of brain;;;
Compound eye;;;
Contralateral abducens;;;
Contralateral amygdala;;;
Contralateral ansiform lobule;;;
Contralateral basilar pontine nuclei;;;
Contralateral bulb;;;
Contralateral CA3;;;
Contralateral caudal dorsal cap;;;
Contralateral cerebellar hemisphere;;;
Contralateral cochlear nucleus;;;
Contralateral colliculus;;;
Contralateral dorsomedial pontine;;;
Contralateral inferior colliculus;;;
Contralateral inferior olivary;;;
Contralateral LSO;;;
Contralateral medial pallium;;;
Contralateral neostriatum caudale;;;
Contralateral parabigeminal nucleus;;;
Contralateral paratrigeminal nucleus;;;
Contralateral pretectal nucleus;;;
Contralateral retinae;;;
Contralateral rostral dorsal accessory;;;
Contralateral striate cortex;;;
Contralateral superior colliculus;;;
Contralateral superior rectus muscle;;;
Contralateral trigeminal sensory complex;;;
Contralateral ventromedial;;;
Contralateral visual cortex;;;
Copula pyramidis sublobule a;;;
Copula pyramidis sublobule b;;;
Copula pyramidis;;copula of the pyramis;
Cornea;;;
Corona radiata;;;
Coronal;;;
Corpora allata;;;
Corpora cardiaca;;;
Corpus callosum anterior forceps;;;
Corpus callosum external capsule;;;
Corpus callosum extreme capsule;;;
Corpus callosum posterior forceps;;;
Corpus callosum;;;
Corpus geniculatum laterale;;;
Corpus geniculatum;;;
Corpus glomerulosum;;;
Cortical area;;;
Cortical grey matter;;;
Cortical hem;;;
Cortical loci;;;
Cortical nucleus of the amygdala anterior part;;;
Cortical nucleus of the amygdala posterior part lateral zone;;;
Cortical nucleus of the amygdala posterior part medial zone;;;
Cortical nucleus of the amygdala posterior part;;;
Cortical nucleus of the amygdala;CoA;Cortical amygdaloid nucleus,cortical amygdalar nucleus, periamygdaloid cortex,Cortical amygdala;
Cortical surface;;;
Cortico-amygdaloid transition areas;;;
Cortico;;;
Corticobulbar tract;;;
Corticomedial nuclear complex;;;
Corticopontine tract;;;
Corticorubral tract;;;
Corticospinal tract;;;
Corticotectal tract;ctt;corticotectal fibers;
Corticotegmental;;;
Cotralateral retina;;;
Cranial motor nuclei;;;
Cranial nerve nucleus;;cranial nerve nuclei,cranial nerve;
Crescent area;;;
Crest cells;;;
Crossed tectospinal pathway;;;
Crus cerebri;;;
Culmen lobule IV;;;
Culmen lobule V;;;
Culmen; IV-V;;
Cuneate fasciculus of medulla;cu;cuneate fasciculus,Cuneate fascicle;
Cuneate nucleus;Cu;Nucleus cuneatus, Nucleus cuneatus medialis;
Cuneiform nucleus;CnF;nucleus cuneiformis;
Cuneocerebellar tract;ccb;cuneocerebellar fibers;
Cuneus cortex;;;
Cytoarchitectural fields of hippocampal formation;;;
Cytoarchitectural part of dentate gyrus;;;
DBv;;;
DC2;;;
DC3;;;
Declive;;;
Declive sublobule a;;;
Declive sublobule b;;;
Declive sublobule c;;;
Declive sublobule d;;;
Decussation of the trochlear nerve;;;
Deep cerebellar nuclei;;Deep cerebellar nuclear complex;
Deep dorsal nuclei;;;
Deep mesencephalic nucleus;DMN;;
Deep mesencephalic reticular;;;
Deep peduncular;;;
Densocellular part of medial dorsal nucleus;MDdc;;
Dentate gyrus crest granule cell layer;;;
Dentate gyrus crest molecular layer;;;
Dentate gyrus crest polymorph layer;;;
Dentate gyrus crest;;;
Dentate gyrus hilus;HDG;hilus of the dentate gyrus;
